=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 2)
DATA_UNIT    : Gauss
MISSION_TIME : 20260713_183834
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
3000          0.212    0.402    1.153
4000          0.211    0.403    1.160
5000          0.214    0.407    1.150
6000          0.213    0.404    1.148
7000          0.212    0.407    1.151
8000          0.214    0.406    1.153
9000          0.214    0.404    1.156
10000         0.212    0.406    1.156
11000         0.214    0.404    1.156
12000         0.209    0.406    1.151
13000         0.214    0.407    1.154
14000         0.212    0.404    1.153
15000         0.209    0.405    1.155
16000         0.212    0.407    1.153
17000         0.215    0.406    1.157
18000         0.215    0.409    1.155
19000         0.213    0.409    1.153
20000         0.213    0.407    1.156
21000         0.215    0.406    1.155
22000         0.214    0.408    1.151
23000         0.211    0.404    1.156
24000         0.216    0.406    1.158
25000         0.214    0.405    1.152
26000         0.215    0.406    1.153
27000         0.218    0.407    1.155
28000         0.215    0.409    1.155
29000         0.213    0.406    1.156
30000         0.216    0.406    1.156
31000         0.213    0.403    1.157
32000         0.215    0.408    1.154
33000         0.212    0.404    1.157
34000         0.214    0.406    1.156
35000         0.219    0.409    1.154
36000         0.217    0.404    1.155
37000         0.216    0.405    1.158
38000         0.215    0.404    1.153
39000         0.213    0.407    1.155
40000         0.213    0.403    1.154
41000         0.215    0.403    1.156
42000         0.216    0.404    1.158
43000         0.218    0.404    1.153
44000         0.217    0.406    1.157
45000         0.215    0.405    1.155
46000         0.214    0.404    1.157
47000         0.215    0.403    1.158
48000         0.215    0.403    1.154
49000         0.215    0.406    1.160
50000         0.217    0.403    1.152
51000         0.214    0.404    1.154
52000         0.216    0.405    1.156
53000         0.212    0.405    1.152
54000         0.214    0.403    1.156
55000         0.215    0.404    1.150
56000         0.214    0.406    1.150
57000         0.216    0.401    1.154
58000         0.219    0.403    1.153
59000         0.214    0.403    1.155
60000         0.215    0.401    1.156
61000         0.217    0.405    1.157
62000         0.214    0.406    1.161
63000         0.216    0.402    1.156
64000         0.213    0.404    1.156
65000         0.216    0.405    1.158
66000         0.213    0.406    1.158
67000         0.214    0.407    1.157
68000         0.215    0.405    1.156
69000         0.213    0.403    1.156
70000         0.217    0.404    1.158
71000         0.215    0.402    1.158
72000         0.213    0.404    1.154
73000         0.215    0.403    1.157
74000         0.214    0.406    1.152
75000         0.217    0.405    1.154
76000         0.213    0.406    1.156
77000         0.213    0.407    1.155
78000         0.212    0.407    1.152
79000         0.211    0.405    1.154
80000         0.211    0.406    1.158
81000         0.216    0.404    1.154
82000         0.213    0.407    1.157
83000         0.213    0.406    1.155
84000         0.217    0.405    1.157
85000         0.216    0.406    1.151
86000         0.214    0.404    1.160
87000         0.214    0.405    1.153
88000         0.213    0.405    1.157
89000         0.216    0.406    1.153
90000         0.215    0.404    1.154
91000         0.213    0.407    1.153
92000         0.218    0.404    1.158
93000         0.215    0.404    1.158
94000         0.216    0.406    1.157
95000         0.214    0.406    1.155
96000         0.217    0.406    1.155
97000         0.218    0.405    1.153
98000         0.215    0.406    1.156
99000         0.217    0.408    1.158
100000        0.212    0.405    1.156
101000        0.216    0.406    1.155
102000        0.214    0.401    1.158
103000        0.212    0.404    1.156
