=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 4)
DATA_UNIT    : Gauss
MISSION_TIME : 20260714_130803
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
1000          0.212   -0.055   -0.549
2000          0.212   -0.054   -0.556
3009          0.210   -0.053   -0.554
4018          0.209   -0.055   -0.551
5027          0.214   -0.055   -0.548
6036          0.210   -0.056   -0.550
7045          0.209   -0.056   -0.555
8054          0.210   -0.056   -0.558
9063          0.210   -0.056   -0.549
10072         0.213   -0.057   -0.557
11081         0.210   -0.054   -0.548
12090         0.211   -0.054   -0.552
13099         0.212   -0.056   -0.552
14108         0.210   -0.053   -0.551
15117         0.208   -0.057   -0.549
16126         0.211   -0.055   -0.553
17135         0.209   -0.053   -0.550
18144         0.209   -0.055   -0.548
19153         0.209   -0.058   -0.549
20162         0.209   -0.056   -0.550
21171         0.208   -0.055   -0.553
22180         0.209   -0.055   -0.550
23189         0.211   -0.054   -0.549
24198         0.213   -0.059   -0.551
25207         0.208   -0.060   -0.556
26216         0.210   -0.055   -0.557
27225         0.214   -0.059   -0.556
28234         0.212   -0.057   -0.556
29243         0.211   -0.056   -0.549
30252         0.211   -0.057   -0.554
31261         0.209   -0.058   -0.559
32270         0.214   -0.057   -0.549
33279         0.213   -0.059   -0.552
34288         0.212   -0.059   -0.553
35297         0.214   -0.055   -0.555
36306         0.212   -0.061   -0.557
37315         0.211   -0.056   -0.554
38324         0.209   -0.056   -0.550
39333         0.212   -0.058   -0.556
40342         0.211   -0.056   -0.553
41351         0.211   -0.055   -0.549
42360         0.213   -0.060   -0.552
43369         0.210   -0.058   -0.555
44378         0.209   -0.056   -0.556
45387         0.212   -0.057   -0.557
46396         0.212   -0.055   -0.554
47405         0.214   -0.057   -0.552
48414         0.212   -0.057   -0.557
49423         0.210   -0.057   -0.556
50432         0.212   -0.053   -0.552
51441         0.211   -0.058   -0.555
52450         0.208   -0.054   -0.547
53459         0.210   -0.056   -0.554
54468         0.212   -0.056   -0.553
55477         0.210   -0.055   -0.551
56486         0.212   -0.053   -0.552
57495         0.211   -0.056   -0.559
58504         0.211   -0.055   -0.552
59513         0.212   -0.056   -0.548
60522         0.210   -0.057   -0.553
61531         0.211   -0.053   -0.550
62540         0.213   -0.055   -0.553
63549         0.213   -0.057   -0.557
64558         0.215   -0.056   -0.554
65567         0.211   -0.058   -0.554
66576         0.214   -0.054   -0.557
67585         0.211   -0.053   -0.551
68594         0.212   -0.057   -0.556
69603         0.210   -0.058   -0.550
70612         0.211   -0.054   -0.548
71621         0.211   -0.057   -0.557
72630         0.213   -0.055   -0.553
73639         0.215   -0.057   -0.551
74648         0.213   -0.056   -0.553
75657         0.212   -0.056   -0.553
76666         0.211   -0.054   -0.549
77675         0.214   -0.056   -0.554
78684         0.212   -0.057   -0.550
79693         0.212   -0.055   -0.552
80702         0.213   -0.060   -0.549
81711         0.211   -0.060   -0.551
82720         0.212   -0.059   -0.554
83729         0.213   -0.061   -0.555
84738         0.215   -0.060   -0.557
85747         0.214   -0.062   -0.553
86756         0.213   -0.065   -0.552
87765         0.212   -0.062   -0.553
88774         0.215   -0.059   -0.555
89783         0.212   -0.066   -0.557
90792         0.214   -0.062   -0.552
91801         0.215   -0.061   -0.552
92810         0.214   -0.061   -0.553
93819         0.213   -0.062   -0.554
94828         0.214   -0.060   -0.554
95837         0.214   -0.062   -0.552
96846         0.214   -0.060   -0.554
97855         0.212   -0.063   -0.560
98864         0.214   -0.064   -0.561
99873         0.211   -0.061   -0.552
100882        0.213   -0.062   -0.552
101891        0.214   -0.064   -0.554
102900        0.215   -0.061   -0.549
103909        0.213   -0.063   -0.556
104918        0.215   -0.063   -0.555
105927        0.213   -0.061   -0.551
106936        0.213   -0.062   -0.558
107945        0.213   -0.062   -0.559
108954        0.213   -0.062   -0.554
109963        0.214   -0.063   -0.559
110972        0.213   -0.064   -0.553
111981        0.213   -0.060   -0.549
112990        0.210   -0.063   -0.555
113999        0.212   -0.061   -0.555
115008        0.212   -0.062   -0.547
116017        0.214   -0.065   -0.556
117027        0.214   -0.063   -0.555
118036        0.213   -0.059   -0.552
119046        0.213   -0.062   -0.551
120055        0.214   -0.064   -0.558
121064        0.213   -0.061   -0.555
122073        0.212   -0.064   -0.555
123082        0.213   -0.062   -0.556
124091        0.212   -0.062   -0.554
125100        0.213   -0.064   -0.549
126109        0.213   -0.065   -0.556
127118        0.213   -0.061   -0.550
128127        0.212   -0.065   -0.556
129136        0.210   -0.064   -0.557
130146        0.214   -0.061   -0.552
131155        0.213   -0.064   -0.555
132164        0.211   -0.063   -0.554
133173        0.211   -0.061   -0.555
134183        0.212   -0.061   -0.559
135193        0.213   -0.064   -0.551
136202        0.215   -0.060   -0.547
137211        0.214   -0.059   -0.551
138220        0.215   -0.062   -0.560
139230        0.213   -0.062   -0.549
140239        0.211   -0.064   -0.552
141248        0.212   -0.064   -0.556
142257        0.214   -0.061   -0.550
143266        0.211   -0.061   -0.550
144276        0.212   -0.062   -0.566
145285        0.211   -0.061   -0.551
146294        0.214   -0.061   -0.554
147303        0.212   -0.063   -0.554
148312        0.210   -0.059   -0.549
149321        0.210   -0.060   -0.552
150330        0.210   -0.065   -0.554
151339        0.215   -0.061   -0.551
152348        0.214   -0.061   -0.555
153357        0.209   -0.063   -0.558
154366        0.213   -0.061   -0.553
155375        0.208   -0.060   -0.553
156384        0.214   -0.063   -0.553
157393        0.213   -0.061   -0.550
158402        0.211   -0.060   -0.554
159411        0.212   -0.062   -0.554
160421        0.211   -0.061   -0.556
161430        0.214   -0.062   -0.555
162439        0.212   -0.063   -0.556
163448        0.210   -0.060   -0.549
164457        0.213   -0.062   -0.550
165466        0.210   -0.062   -0.550
166475        0.212   -0.058   -0.547
167484        0.213   -0.059   -0.549
168493        0.214   -0.061   -0.557
169502        0.212   -0.060   -0.548
170511        0.211   -0.061   -0.550
171520        0.211   -0.061   -0.553
172530        0.213   -0.061   -0.552
173539        0.213   -0.059   -0.550
174548        0.212   -0.063   -0.553
175557        0.214   -0.061   -0.548
176566        0.212   -0.062   -0.553
177575        0.211   -0.063   -0.559
178584        0.213   -0.061   -0.550
179593        0.212   -0.060   -0.550
180602        0.211   -0.061   -0.556
181611        0.210   -0.060   -0.556
182620        0.211   -0.057   -0.548
183629        0.212   -0.061   -0.557
184638        0.210   -0.060   -0.554
185647        0.212   -0.059   -0.550
186656        0.211   -0.065   -0.553
187665        0.211   -0.060   -0.546
188674        0.211   -0.061   -0.556
