=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 1)
DATA_UNIT    : Gauss
MISSION_TIME : 20260713_183834
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
3000         -0.150   -0.422    0.889
4000         -0.151   -0.424    0.891
5000         -0.152   -0.424    0.890
6000         -0.149   -0.422    0.890
7000         -0.151   -0.417    0.894
8000         -0.153   -0.420    0.886
9000         -0.153   -0.422    0.895
10000        -0.152   -0.423    0.891
11000        -0.152   -0.424    0.891
12000        -0.151   -0.421    0.892
13000        -0.150   -0.421    0.890
14000        -0.153   -0.420    0.891
15000        -0.151   -0.421    0.890
16000        -0.153   -0.421    0.894
17000        -0.151   -0.423    0.892
18000        -0.150   -0.422    0.888
19000        -0.152   -0.423    0.888
20000        -0.152   -0.421    0.890
21000        -0.152   -0.420    0.889
22000        -0.150   -0.418    0.888
23000        -0.151   -0.422    0.890
24000        -0.148   -0.420    0.888
25000        -0.148   -0.417    0.891
26000        -0.150   -0.418    0.888
27000        -0.150   -0.419    0.892
28000        -0.152   -0.417    0.891
29000        -0.151   -0.420    0.890
30000        -0.151   -0.417    0.890
31000        -0.152   -0.418    0.892
32000        -0.154   -0.419    0.890
33000        -0.152   -0.418    0.894
34000        -0.154   -0.422    0.898
35000        -0.151   -0.421    0.893
36000        -0.151   -0.418    0.893
37000        -0.151   -0.420    0.895
38000        -0.150   -0.419    0.889
39000        -0.151   -0.420    0.889
40000        -0.147   -0.415    0.889
41000        -0.148   -0.417    0.892
42000        -0.149   -0.417    0.891
43000        -0.149   -0.419    0.889
44000        -0.151   -0.420    0.889
45000        -0.149   -0.421    0.891
46000        -0.149   -0.423    0.894
47000        -0.151   -0.421    0.892
48000        -0.150   -0.420    0.892
49000        -0.148   -0.419    0.889
50000        -0.149   -0.418    0.891
51000        -0.151   -0.419    0.894
52000        -0.150   -0.421    0.888
53000        -0.148   -0.419    0.891
54000        -0.149   -0.418    0.891
55000        -0.152   -0.421    0.891
56000        -0.151   -0.420    0.889
57000        -0.150   -0.417    0.892
58000        -0.151   -0.417    0.890
59000        -0.149   -0.420    0.889
60000        -0.152   -0.416    0.896
61000        -0.151   -0.419    0.895
62000        -0.150   -0.420    0.895
63000        -0.149   -0.418    0.893
64000        -0.150   -0.417    0.896
65000        -0.152   -0.418    0.895
66000        -0.150   -0.415    0.892
67000        -0.149   -0.417    0.894
68000        -0.146   -0.418    0.895
69000        -0.149   -0.417    0.896
70000        -0.148   -0.419    0.894
71000        -0.146   -0.420    0.892
72000        -0.151   -0.416    0.890
73000        -0.150   -0.416    0.887
74000        -0.150   -0.418    0.889
75000        -0.148   -0.413    0.887
76000        -0.150   -0.413    0.889
77000        -0.151   -0.417    0.886
78000        -0.151   -0.418    0.894
79000        -0.149   -0.418    0.894
80000        -0.152   -0.419    0.890
81000        -0.151   -0.416    0.897
82000        -0.150   -0.418    0.891
83000        -0.150   -0.416    0.898
84000        -0.151   -0.420    0.893
85000        -0.150   -0.418    0.895
86000        -0.151   -0.419    0.890
87000        -0.149   -0.417    0.895
88000        -0.152   -0.421    0.892
89000        -0.150   -0.419    0.888
90000        -0.152   -0.418    0.891
91000        -0.149   -0.417    0.891
92000        -0.152   -0.419    0.888
93000        -0.147   -0.419    0.893
94000        -0.149   -0.417    0.886
95000        -0.148   -0.413    0.890
96000        -0.148   -0.417    0.892
97000        -0.148   -0.416    0.889
98000        -0.150   -0.419    0.892
99000        -0.148   -0.420    0.894
100000       -0.150   -0.416    0.892
101000       -0.148   -0.418    0.890
102000       -0.152   -0.414    0.893
103000       -0.149   -0.417    0.891
