=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 0)
DATA_UNIT    : Gauss
MISSION_TIME : 20260714_130803
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
1000          0.210   -0.056   -0.549
2000          0.213   -0.056   -0.551
3009          0.210   -0.055   -0.552
4018          0.212   -0.053   -0.548
5027          0.211   -0.059   -0.556
6036          0.213   -0.054   -0.549
7045          0.212   -0.054   -0.552
8054          0.212   -0.056   -0.554
9063          0.210   -0.055   -0.544
10072         0.209   -0.057   -0.552
11081         0.212   -0.058   -0.555
12090         0.213   -0.053   -0.554
13099         0.209   -0.057   -0.556
14108         0.210   -0.056   -0.554
15117         0.210   -0.054   -0.552
16126         0.207   -0.056   -0.549
17135         0.213   -0.056   -0.555
18144         0.210   -0.052   -0.546
19153         0.209   -0.055   -0.555
20162         0.209   -0.056   -0.552
21171         0.214   -0.052   -0.552
22180         0.209   -0.056   -0.555
23189         0.210   -0.055   -0.552
24198         0.210   -0.056   -0.550
25207         0.210   -0.060   -0.564
26216         0.212   -0.057   -0.556
27225         0.210   -0.056   -0.553
28234         0.213   -0.060   -0.554
29243         0.210   -0.055   -0.550
30252         0.213   -0.054   -0.557
31261         0.212   -0.056   -0.552
32270         0.213   -0.056   -0.555
33279         0.214   -0.056   -0.553
34288         0.210   -0.060   -0.561
35297         0.212   -0.055   -0.554
36306         0.212   -0.056   -0.557
37315         0.211   -0.056   -0.560
38324         0.210   -0.054   -0.560
39333         0.211   -0.056   -0.554
40342         0.212   -0.059   -0.555
41351         0.212   -0.056   -0.550
42360         0.213   -0.057   -0.557
43369         0.213   -0.057   -0.556
44378         0.211   -0.055   -0.555
45387         0.210   -0.057   -0.558
46396         0.210   -0.058   -0.561
47405         0.208   -0.054   -0.555
48414         0.211   -0.056   -0.556
49423         0.211   -0.059   -0.553
50432         0.210   -0.056   -0.551
51441         0.211   -0.056   -0.556
52450         0.212   -0.056   -0.559
53459         0.210   -0.057   -0.550
54468         0.210   -0.059   -0.556
55477         0.209   -0.058   -0.560
56486         0.213   -0.053   -0.555
57495         0.212   -0.058   -0.558
58504         0.211   -0.056   -0.558
59513         0.212   -0.056   -0.550
60522         0.213   -0.057   -0.558
61531         0.214   -0.054   -0.557
62540         0.211   -0.056   -0.552
63549         0.213   -0.056   -0.554
64558         0.212   -0.058   -0.554
65567         0.213   -0.056   -0.554
66576         0.213   -0.056   -0.557
67585         0.211   -0.053   -0.549
68594         0.212   -0.053   -0.554
69603         0.211   -0.059   -0.553
70612         0.212   -0.054   -0.554
71621         0.213   -0.058   -0.550
72630         0.213   -0.056   -0.556
73639         0.211   -0.056   -0.554
74648         0.212   -0.054   -0.555
75657         0.210   -0.058   -0.556
76666         0.212   -0.057   -0.552
77675         0.211   -0.055   -0.552
78684         0.212   -0.057   -0.554
79693         0.211   -0.055   -0.556
80702         0.211   -0.058   -0.554
81711         0.213   -0.063   -0.555
82720         0.212   -0.058   -0.559
83729         0.214   -0.061   -0.554
84738         0.212   -0.060   -0.552
85747         0.213   -0.062   -0.551
86756         0.216   -0.061   -0.561
87765         0.214   -0.063   -0.551
88774         0.215   -0.061   -0.552
89783         0.215   -0.065   -0.556
90792         0.215   -0.061   -0.558
91801         0.215   -0.059   -0.551
92810         0.214   -0.064   -0.554
93819         0.214   -0.064   -0.556
94828         0.212   -0.062   -0.556
95837         0.215   -0.063   -0.555
96846         0.212   -0.065   -0.555
97855         0.214   -0.061   -0.553
98864         0.214   -0.061   -0.550
99873         0.213   -0.063   -0.551
100882        0.213   -0.061   -0.551
101891        0.215   -0.063   -0.556
