=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 2)
DATA_UNIT    : Gauss
MISSION_TIME : 20260714_130803
END_OF_HEADER
TIME_MS            X        Y        Z
=========================================
1000          0.440    0.230    0.897
2000          0.439    0.225    0.896
3009          0.442    0.230    0.897
4018          0.440    0.226    0.897
5027          0.441    0.229    0.899
6036          0.440    0.230    0.897
7045          0.442    0.229    0.898
8054          0.439    0.229    0.899
9063          0.439    0.229    0.896
10072         0.442    0.229    0.896
11081         0.442    0.227    0.899
12090         0.441    0.226    0.898
13099         0.441    0.228    0.899
14108         0.442    0.228    0.899
15117         0.440    0.230    0.901
16126         0.444    0.227    0.899
17135         0.440    0.227    0.894
18144         0.441    0.229    0.900
19153         0.439    0.228    0.898
20162         0.441    0.224    0.897
21171         0.440    0.228    0.901
22180         0.439    0.231    0.898
23189         0.439    0.228    0.897
24198         0.438    0.227    0.894
25207         0.443    0.224    0.899
26216         0.443    0.223    0.893
27225         0.444    0.225    0.899
28234         0.444    0.225    0.897
29243         0.440    0.225    0.895
30252         0.443    0.227    0.898
31261         0.442    0.222    0.896
32270         0.444    0.224    0.897
33279         0.442    0.221    0.898
34288         0.439    0.223    0.900
35297         0.440    0.224    0.900
36306         0.440    0.224    0.897
37315         0.442    0.225    0.899
38324         0.441    0.229    0.900
39333         0.441    0.227    0.900
40342         0.440    0.228    0.898
41351         0.439    0.226    0.896
42360         0.443    0.225    0.901
43369         0.443    0.226    0.893
44378         0.441    0.225    0.899
45387         0.441    0.226    0.901
46396         0.441    0.224    0.897
47405         0.440    0.229    0.903
48414         0.442    0.223    0.899
49423         0.441    0.224    0.898
50432         0.443    0.225    0.896
51441         0.445    0.225    0.902
52450         0.440    0.228    0.899
53459         0.443    0.225    0.899
54468         0.442    0.226    0.898
55477         0.444    0.225    0.893
56486         0.444    0.225    0.895
57495         0.443    0.228    0.902
58504         0.440    0.225    0.897
59513         0.443    0.227    0.900
60522         0.445    0.228    0.897
61531         0.441    0.223    0.900
62540         0.446    0.224    0.892
63549         0.442    0.224    0.894
64558         0.441    0.223    0.900
65567         0.445    0.228    0.892
66576         0.443    0.224    0.900
67585         0.441    0.224    0.898
68594         0.444    0.226    0.897
69603         0.442    0.223    0.901
70612         0.442    0.225    0.898
71621         0.441    0.226    0.893
72630         0.442    0.225    0.898
73639         0.439    0.227    0.897
74648         0.443    0.224    0.898
75657         0.443    0.225    0.901
76666         0.439    0.226    0.897
77675         0.440    0.226    0.895
78684         0.443    0.226    0.898
79693         0.444    0.225    0.896
80702         0.442    0.221    0.897
81711         0.440    0.222    0.897
82720         0.444    0.220    0.900
83729         0.445    0.220    0.899
84738         0.443    0.223    0.899
85747         0.443    0.221    0.900
86756         0.443    0.220    0.906
87765         0.445    0.223    0.903
88774         0.446    0.219    0.892
89783         0.443    0.223    0.899
90792         0.444    0.221    0.899
91801         0.443    0.222    0.896
92810         0.440    0.221    0.900
93819         0.442    0.221    0.898
94828         0.444    0.221    0.898
95837         0.444    0.221    0.899
96846         0.443    0.221    0.897
97855         0.445    0.219    0.896
98864         0.446    0.218    0.897
99873         0.442    0.218    0.899
100882        0.442    0.223    0.900
101891        0.441    0.219    0.896
102900        0.443    0.225    0.898
103909        0.442    0.218    0.900
104918        0.443    0.218    0.894
105927        0.444    0.220    0.900
106936        0.442    0.221    0.899
107945        0.442    0.220    0.897
108954        0.445    0.218    0.900
109963        0.445    0.218    0.901
110972        0.440    0.222    0.893
111981        0.445    0.221    0.895
112990        0.441    0.220    0.899
113999        0.445    0.221    0.897
115008        0.444    0.221    0.899
116017        0.444    0.220    0.901
117027        0.441    0.219    0.901
118036        0.440    0.221    0.897
119046        0.443    0.223    0.902
120055        0.442    0.219    0.900
121064        0.442    0.223    0.898
122073        0.445    0.222    0.899
123082        0.444    0.221    0.902
124091        0.442    0.219    0.897
125100        0.444    0.221    0.900
126109        0.442    0.220    0.901
127118        0.445    0.216    0.899
128127        0.444    0.219    0.900
129136        0.445    0.221    0.900
130146        0.445    0.221    0.897
131155        0.440    0.220    0.903
132164        0.444    0.221    0.897
133173        0.441    0.220    0.900
134183        0.445    0.219    0.899
135193        0.442    0.219    0.898
136202        0.444    0.222    0.899
137211        0.441    0.218    0.898
138220        0.440    0.220    0.902
139230        0.443    0.219    0.899
140239        0.441    0.222    0.900
141248        0.441    0.221    0.897
142257        0.445    0.222    0.895
143266        0.444    0.220    0.899
144276        0.442    0.221    0.897
145285        0.444    0.221    0.900
146294        0.442    0.222    0.899
147303        0.442    0.219    0.897
148312        0.443    0.221    0.901
149321        0.443    0.222    0.896
150330        0.442    0.220    0.900
151339        0.440    0.219    0.898
152348        0.440    0.221    0.894
153357        0.442    0.223    0.896
154366        0.444    0.222    0.897
155375        0.443    0.223    0.901
156384        0.441    0.219    0.901
157393        0.443    0.219    0.898
158402        0.446    0.220    0.896
159411        0.444    0.224    0.898
160421        0.442    0.223    0.899
161430        0.441    0.221    0.902
162439        0.440    0.221    0.902
163448        0.440    0.222    0.900
164457        0.442    0.223    0.897
165466        0.445    0.221    0.898
166475        0.443    0.221    0.898
167484        0.444    0.221    0.900
168493        0.441    0.221    0.896
169502        0.441    0.219    0.901
170511        0.441    0.220    0.898
171520        0.444    0.220    0.898
172530        0.441    0.221    0.902
173539        0.443    0.223    0.902
174548        0.445    0.221    0.900
175557        0.440    0.221    0.897
176566        0.440    0.220    0.901
177575        0.443    0.221    0.900
178584        0.444    0.221    0.903
179593        0.442    0.221    0.896
180602        0.446    0.222    0.898
181611        0.442    0.222    0.898
182620        0.442    0.225    0.898
183629        0.440    0.219    0.897
184638        0.445    0.222    0.896
185647        0.443    0.225    0.899
186656        0.439    0.222    0.898
187665        0.442    0.223    0.897
188674        0.442    0.220    0.899
