
==============================================================================
                         MAGNETOMETER TELEMETRY DATA         
==============================================================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 0)
DATA_UNIT    : Gauss
MISSION_TIME : 2026-08-14_12:46:14
END_OF_HEADER
PC_TIMESTAMP                        X          Y          Z
==============================================================================
 2026-08-14 12:46:14.723 |        -0.375    0.057    0.110
 2026-08-14 12:46:15.807 |        -0.374    0.058    0.108
 2026-08-14 12:46:16.888 |        -0.375    0.060    0.108
 2026-08-14 12:46:17.972 |        -0.376    0.058    0.109
 2026-08-14 12:46:19.055 |        -0.375    0.058    0.112
 2026-08-14 12:46:20.138 |        -0.375    0.060    0.108
 2026-08-14 12:46:21.221 |        -0.375    0.061    0.112
 2026-08-14 12:46:22.305 |        -0.375    0.056    0.111
 2026-08-14 12:46:23.387 |        -0.375    0.059    0.107
 2026-08-14 12:46:24.470 |        -0.374    0.060    0.111
 2026-08-14 12:46:25.554 |        -0.376    0.061    0.111
