
==============================================================================
                         MAGNETOMETER TELEMETRY DATA         
==============================================================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 6)
DATA_UNIT    : Gauss
MISSION_TIME : 2026-09-08_11:47:05
END_OF_HEADER
PC_TIMESTAMP                        X          Y          Z
==============================================================================
 2026-09-08 11:47:06.116 |        -0.233    0.114    0.105
 2026-09-08 11:47:07.199 |        -0.235    0.113    0.103
 2026-09-08 11:47:08.282 |        -0.234    0.114    0.101
 2026-09-08 11:47:09.365 |        -0.235    0.115    0.104
 2026-09-08 11:47:10.449 |        -0.236    0.116    0.101
 2026-09-08 11:47:11.532 |        -0.233    0.114    0.101
 2026-09-08 11:47:12.615 |        -0.235    0.115    0.101
 2026-09-08 11:47:13.698 |        -0.234    0.115    0.103
 2026-09-08 11:47:14.781 |        -0.236    0.115    0.101
 2026-09-08 11:47:15.864 |        -0.235    0.114    0.102
 2026-09-08 11:47:16.947 |        -0.236    0.112    0.102
 2026-09-08 11:47:18.030 |        -0.236    0.115    0.102
 2026-09-08 11:47:19.113 |        -0.235    0.113    0.101
 2026-09-08 11:47:20.196 |        -0.234    0.111    0.101
 2026-09-08 11:47:21.279 |        -0.236    0.113    0.103
 2026-09-08 11:47:22.362 |        -0.235    0.114    0.100
 2026-09-08 11:47:23.445 |        -0.233    0.116    0.099
 2026-09-08 11:47:24.528 |        -0.233    0.114    0.102
 2026-09-08 11:47:25.611 |        -0.229    0.120    0.103
 2026-09-08 11:47:26.693 |        -0.227    0.222    0.160
 2026-09-08 11:47:27.777 |        -0.293    0.309    0.195
 2026-09-08 11:47:28.860 |        -0.292    0.307    0.192
